Date,Day_of_the_week,App,Minutes,Category
08/20/23,Sunday,TIKTOK,252,Entertainment
08/20/23,Sunday,X,56,Social Media
08/20/23,Sunday,MESSAGES,54,Other
08/20/23,Sunday,INSTAGRAM,42,Social Media
08/21/23,Monday,TIKTOK,200,Entertainment
08/21/23,Monday,INSTAGRAM,84,Social Media
08/21/23,Monday,MESSAGES,63,Other
08/21/23,Monday,HUDL,36,Other
08/22/23,Tuesday,TIKTOK,103,Entertainment
08/22/23,Tuesday,MESSAGES,77,Other
08/22/23,Tuesday,X,65,Social Media
08/22/23,Tuesday,YOUTUBE,37,Entertainment
08/23/23,Wednesday,YOUTUBE,111,Entertainment
08/23/23,Wednesday,TIKTOK,64,Entertainment
08/23/23,Wednesday,INSTAGRAM,55,Social Media
08/23/23,Wednesday,MESSAGES,52,Other
08/24/23,Thursday,TIKTOK,145,Social Media
08/24/23,Thursday,X,83,Social Media
08/24/23,Thursday,MESSAGES,56,Other
08/25/23,Thursday,HUDL,56,Other
08/25/23,Friday,TIKTOK,197,Entertainment
08/25/23,Friday,YOUTUBE,141,Entertainment
08/25/23,Friday,INSTAGRAM,95,Social Media
08/25/23,Friday,MESSAGES,54,Other
08/26/23,Saturday,TIKTOK,150,Entertainment
08/26/23,Saturday,MESSAGES,120,Other
08/26/23,Saturday,PHONE,100,Other
08/26/23,Saturday,INSTAGRAM,20,Social Media